clade_membership,frequency,projected_frequency,n_strains,observed_frequency,future_n_strains,forecast_error,absolute_forecast_error,sample,timepoint,future_timepoint,delta_month,delay_type
A.6.8.4.1,0.033555,0.041059946377268584,11,0.041798999999999996,24,0.0007390536227314115,0.0007390536227314115,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.4.2,0.040526,0.0446438242985594,14,0.008078,17,-0.036565824298559396,0.036565824298559396,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.4.3,0.032447000000000004,0.0328068749352509,17,0.008439,15,-0.024367874935250895,0.024367874935250895,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.4.5,0.00045000000000000004,0.00035782801646999033,10,0.0,0,-0.00035782801646999033,0.00035782801646999033,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.4.6,0.032545,0.0370465452203772,9,0.075456,27,0.03840945477962279,0.03840945477962279,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.4.7,0.121365,0.12419952802047388,93,0.148293,86,0.024093471979526132,0.024093471979526132,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.5,0.068174,0.04846308372790187,34,0.449878,111,0.40141491627209813,0.40141491627209813,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.5.1,0.035949,0.03046287196396711,18,0.040708,18,0.010245128036032891,0.010245128036032891,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.5.2,0.028716,0.0151937867420526,8,0.409132,92,0.3939382132579474,0.3939382132579474,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.5.2.4,0.013047,0.0068393178757463,4,0.106787,29,0.0999476821242537,0.0999476821242537,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.5.2.4.1,0.00275,0.0010958631493042,1,0.005459,2,0.0043631368506958,0.0043631368506958,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6,0.99998,0.9999999999999813,465,0.999983,614,-1.699999998139301e-05,1.699999998139301e-05,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.6,0.11891000000000002,0.11215080735349127,70,0.06879199999999999,89,-0.04335880735349128,0.04335880735349128,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.6.1,1.9e-05,1.446376610500629e-05,1,0.0,0,-1.446376610500629e-05,1.446376610500629e-05,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.6.2,0.007194000000000001,0.0054132400920299,5,0.0034119999999999997,7,-0.0020012400920299002,0.0020012400920299002,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.6.2.1,0.005727,0.0042966005600701,4,0.0031969999999999998,6,-0.0010996005600701002,0.0010996005600701002,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.6.3,0.11152200000000001,0.10659425673415482,61,0.061452,80,-0.04514225673415482,0.04514225673415482,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.6.3.1,2.3e-05,1.7548396903767236e-05,1,0.0,0,-1.7548396903767236e-05,1.7548396903767236e-05,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.6.3.2,0.028310000000000002,0.019055492524263182,9,0.022143,20,0.0030875074757368177,0.0030875074757368177,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.6.3.3,0.079907,0.08504963534070109,45,0.038854,58,-0.04619563534070109,0.04619563534070109,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8,0.8786820000000001,0.8862591418683498,394,0.931167,523,0.04490785813165021,0.04490785813165021,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.1,0.08897200000000001,0.07446853844011665,48,0.027952,32,-0.04651653844011665,0.04651653844011665,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.2,0.022896,0.014461766564124663,9,0.000491,6,-0.013970766564124663,0.013970766564124663,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.3,0.063459,0.0524925551932003,14,0.020506,24,-0.0319865551932003,0.0319865551932003,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.4,0.5708,0.6538639692144952,252,0.404652,311,-0.24921196921449518,0.24921196921449518,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.4.1,0.042086,0.0413183602626324,6,0.041798999999999996,24,0.0004806397373675955,0.0004806397373675955,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.4.2,0.021098,0.0208227406023021,6,0.008078,17,-0.0127447406023021,0.0127447406023021,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.4.3,0.021639000000000002,0.030734341212265398,10,0.008439,15,-0.022295341212265396,0.022295341212265396,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.4.5,0.001326,0.001203002285887591,16,0.0,0,-0.001203002285887591,0.001203002285887591,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.4.6,0.020416,0.0235482742304885,3,0.075456,27,0.0519077257695115,0.0519077257695115,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.4.7,0.111838,0.1408941052217713,62,0.148293,86,0.007398894778228721,0.007398894778228721,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
