horizon,future_timepoint,distance,delay,t,future_timepoint_numeric
12,2012-10-01,5.166625499725342,1.0,6,2012.75
12,2013-01-01,5.133726596832275,1.0,7,2013.0
12,2013-04-01,4.647400379180908,1.0,8,2013.25
12,2013-07-01,4.726698398590088,1.0,9,2013.5
12,2013-10-01,4.553720951080322,1.0,10,2013.75
12,2014-01-01,2.872287034988404,1.0,11,2014.0
12,2014-04-01,2.8300423622131348,1.0,12,2014.25
12,2014-07-01,4.27379322052002,1.0,13,2014.5
12,2014-10-01,5.12775182723999,1.0,14,2014.75
12,2015-01-01,6.759317874908447,1.0,15,2015.0
12,2015-04-01,6.989812850952148,1.0,16,2015.25
12,2015-07-01,8.22149658203125,1.0,17,2015.5
12,2015-10-01,9.302637100219728,1.0,18,2015.75
12,2016-01-01,3.256639003753662,1.0,19,2016.0
12,2016-04-01,3.5509769916534424,1.0,20,2016.25
12,2016-07-01,4.5803985595703125,1.0,21,2016.5
12,2016-10-01,5.666132926940918,1.0,22,2016.75
12,2017-01-01,7.099970817565918,1.0,23,2017.0
12,2017-04-01,5.156304836273193,1.0,24,2017.25
12,2017-07-01,5.539554119110107,1.0,25,2017.5
12,2017-10-01,6.6213884353637695,1.0,26,2017.75
12,2018-01-01,6.571371555328369,1.0,27,2018.0
12,2018-04-01,7.331073760986328,1.0,28,2018.25
12,2018-07-01,7.632099628448486,1.0,29,2018.5
12,2018-10-01,6.308695316314697,1.0,30,2018.75
12,2019-01-01,4.1737060546875,1.0,31,2019.0
12,2019-04-01,8.479726791381836,1.0,32,2019.25
12,2019-07-01,12.619367599487305,1.0,33,2019.5
12,2019-10-01,15.131311416625977,1.0,34,2019.75
12,2012-04-01,9.417932510375977,3.0,4,2012.25
12,2012-07-01,9.335917472839355,3.0,5,2012.5
12,2012-10-01,5.705699920654297,3.0,6,2012.75
12,2013-01-01,6.053493976593018,3.0,7,2013.0
12,2013-04-01,6.2000908851623535,3.0,8,2013.25
12,2013-07-01,6.050261974334717,3.0,9,2013.5
12,2013-10-01,3.583024263381958,3.0,10,2013.75
12,2014-01-01,3.759779930114746,3.0,11,2014.0
12,2014-04-01,2.54929518699646,3.0,12,2014.25
12,2014-07-01,3.987993001937866,3.0,13,2014.5
12,2014-10-01,5.068484306335449,3.0,14,2014.75
12,2015-01-01,5.771768093109131,3.0,15,2015.0
12,2015-04-01,8.477252960205078,3.0,16,2015.25
12,2015-07-01,8.980706214904785,3.0,17,2015.5
12,2015-10-01,8.555623054504395,3.0,18,2015.75
12,2016-01-01,4.20131254196167,3.0,19,2016.0
12,2016-04-01,3.57470965385437,3.0,20,2016.25
12,2016-07-01,4.178882598876953,3.0,21,2016.5
12,2016-10-01,5.621823787689209,3.0,22,2016.75
12,2017-01-01,5.992486953735352,3.0,23,2017.0
12,2017-04-01,4.759440898895264,3.0,24,2017.25
12,2017-07-01,5.857649803161621,3.0,25,2017.5
12,2017-10-01,6.054879665374756,3.0,26,2017.75
12,2018-01-01,5.335727214813232,3.0,27,2018.0
12,2018-04-01,7.374351024627685,3.0,28,2018.25
12,2018-07-01,8.057799339294434,3.0,29,2018.5
12,2018-10-01,4.599033355712891,3.0,30,2018.75
12,2019-01-01,5.906570911407471,3.0,31,2019.0
12,2019-04-01,7.841636657714844,3.0,32,2019.25
12,2019-07-01,12.592162132263184,3.0,33,2019.5
12,2019-10-01,15.503642082214355,3.0,34,2019.75
